Date,Rate,High (est),Low (est)
2001-02-12,265.479,268.54,262.46
2001-02-13,265.496,268.48,262.54
2001-02-14,265.551,268.69,262.45
2001-02-15,265.626,268.81,262.48
2001-02-16,267.534,270.54,264.56
2001-02-19,266.871,0.0,0.0
2001-02-20,265.727,0.0,0.0
2001-02-21,265.992,269.24,262.78
2001-02-22,266.096,269.35,262.88
2001-02-23,266.594,269.88,263.34
2001-02-26,266.416,269.39,263.47
2001-02-27,266.122,269.34,262.94
2001-02-28,266.282,0.0,0.0
2001-03-01,266.409,269.41,263.44
2001-03-02,266.344,269.51,263.22
2001-03-05,266.406,269.68,263.17
2001-03-06,266.298,269.43,263.21
2001-03-07,266.271,269.35,263.23
2001-03-08,266.252,269.56,262.98
2001-03-09,266.188,269.42,263.0
2001-03-12,266.219,269.31,263.16
2001-03-13,266.312,269.58,263.08
2001-03-14,266.417,0.0,0.0
2001-03-15,266.41,269.43,263.42
2001-03-16,266.45,269.41,263.52
2001-03-19,266.456,269.4,263.54
2001-03-20,266.501,0.0,0.0
2001-03-21,266.52,269.46,263.61
2001-03-22,266.573,0.0,0.0
2001-03-23,266.604,269.56,263.69
2001-03-26,266.61,0.0,0.0
2001-03-27,266.62,0.0,0.0
2001-03-28,266.613,269.82,263.45
2001-03-29,266.71,0.0,0.0
2001-03-30,266.798,269.99,263.64
2001-04-02,266.796,0.0,0.0
2001-04-03,266.776,0.0,0.0
2001-04-04,266.796,0.0,0.0
2001-04-05,266.83,0.0,0.0
2001-04-06,266.85,0.0,0.0
2001-04-09,266.918,270.08,263.8
2001-04-10,266.915,0.0,0.0
2001-04-11,266.947,270.16,263.78
2001-04-12,266.942,270.14,263.79
2001-04-13,267.002,270.23,263.81
2001-04-16,267.042,270.22,263.9
2001-04-17,267.066,0.0,0.0
2001-04-18,267.079,270.33,263.87
2001-04-19,267.056,270.31,263.84
2001-04-20,267.128,0.0,0.0
2001-04-23,267.121,0.0,0.0
2001-04-24,267.147,270.39,263.94
2001-04-25,267.149,0.0,0.0
2001-04-26,267.205,270.3,264.14
2001-04-27,267.245,270.21,264.31
2001-04-30,267.265,0.0,0.0
2001-05-01,267.297,270.53,264.11
2001-05-02,267.245,270.53,264.0
2001-05-03,267.377,0.0,0.0
2001-05-04,263.265,266.49,260.08
2001-05-07,260.177,263.26,257.13
2001-05-08,258.871,0.0,0.0
2001-05-09,258.33,0.0,0.0
2001-05-10,258.194,261.21,255.21
2001-05-11,257.6,0.0,0.0
2001-05-14,257.491,260.63,254.39
2001-05-15,257.835,260.76,254.94
2001-05-16,258.357,0.0,0.0
2001-05-17,258.237,0.0,0.0
2001-05-18,258.054,0.0,0.0
2001-05-21,258.351,0.0,0.0
2001-05-22,258.222,261.17,255.3
2001-05-23,257.39,260.33,254.48
2001-05-24,256.778,259.95,253.65
2001-05-25,255.405,0.0,0.0
2001-05-28,254.844,0.0,0.0
2001-05-29,254.462,0.0,0.0
2001-05-30,253.909,256.73,251.12
2001-05-31,253.739,0.0,0.0
2001-06-01,253.681,256.6,250.8
2001-06-04,253.64,256.49,250.83
2001-06-05,252.15,254.93,249.4
2001-06-06,250.458,253.45,247.5
2001-06-07,249.972,253.06,246.92
2001-06-08,250.358,0.0,0.0
2001-06-11,250.189,253.19,247.23
2001-06-12,249.19,0.0,0.0
2001-06-13,247.994,250.77,245.25
2001-06-14,247.139,250.17,244.14
2001-06-15,246.174,0.0,0.0
2001-06-18,245.699,248.67,242.76
2001-06-19,246.044,248.78,243.34
2001-06-20,246.366,0.0,0.0
2001-06-21,245.471,248.36,242.62
