,Date,Rate,High (est),Low (est),MA12,MA26,PCT_change,Signals
3080,2010-03-26,264.94213867188,264.15420532227,264.37384033203,263.2878570556641,265.01542194072886,0.009628401814179899,0
3081,2010-03-28,264.76852416992,265.66412353516,264.68682861328,263.28560129801417,264.7979630690342,-0.0006552921435235559,0
3082,2010-03-29,264.76852416992,265.66412353516,264.68682861328,263.28334554036417,264.6128680889411,0.0,0
3083,2010-03-30,266.29345703125,266.71044921875,264.49926757812,263.5201237996417,264.5811262864323,0.005759494509820717,0
3084,2010-03-31,265.2978515625,266.44711303711,264.87680053711,263.86903889973917,264.51109196589465,-0.003738753027766495,0
3085,2010-04-01,263.55685424805,264.92010498047,263.66934204102,264.04523213704414,264.4460355318504,-0.006562425229590829,0
3086,2010-04-02,265.12890625,265.09875488281,263.697265625,264.19933064778667,264.42135502741843,0.005964754763958524,0
3087,2010-04-04,264.30520629883,264.74508666992,263.94171142578,264.3309402465825,264.3398989163908,-0.003106790439490248,0
3088,2010-04-05,264.30520629883,264.74508666992,263.94171142578,264.4625498453783,264.2716839130104,0.0,0
3089,2010-04-06,264.38031005859,265.48223876953,263.2751159668,264.4875081380208,264.24840956467807,0.00028415543080551053,0
3090,2010-04-07,265.861328125,266.31918334961,263.86932373047,264.66865030924504,264.2820974496692,0.005601847074321764,0
3091,2010-04-08,267.42288208008,268.5036315918,264.15899658203,265.0859324137375,264.31686988243695,0.005873565614423537,0
3092,2010-04-09,266.81878662109,267.66744995117,266.56228637695,265.24231974283833,264.34612450232845,-0.002258952017460847,0
3093,2010-04-11,263.87133789062,266.85928344727,261.94613647461,265.1675542195633,264.295248178335,-0.011046631190387957,0
3094,2010-04-12,263.87133789062,266.85928344727,261.94613647461,265.0927886962883,264.2347998985873,0.0,0
3095,2010-04-13,263.16290283203,264.56918334961,262.94424438477,264.83190917968665,264.17200411283,-0.002684774573294746,0
3096,2010-04-14,262.04455566406,262.99749755859,261.89303588867,264.56080118815004,264.0661949744585,-0.00424963836443093,0
3097,2010-04-15,262.92926025391,263.69747924805,261.82275390625,264.5085016886383,264.0460850642273,0.0033761609265570147,0
3098,2010-04-16,263.43649291992,264.44342041016,262.39056396484,264.367467244465,264.13553208571153,0.0019291602065139024,0
3099,2010-04-18,264.56625366211,265.54028320312,262.95034790039,264.389221191405,264.25567509577775,0.004288550647132405,0
3100,2010-04-19,264.56625366211,265.54028320312,262.95034790039,264.410975138345,264.30515700120156,0.0,0
3101,2010-04-20,264.16058349609,264.50442504883,264.54281616211,264.39266459147,264.3603374774635,-0.0015333405542269363,0
3102,2010-04-21,263.70123291016,264.37966918945,263.28671264648,264.2126566569,264.39785062349733,-0.0017389066144941623,0
3103,2010-04-22,264.65670776367,265.42742919922,263.16497802734,263.9821421305325,264.4200005164508,0.003623323421606983,0
3104,2010-04-23,263.3037109375,265.09478759766,263.12191772461,263.6892191569,264.40523470365036,-0.005112271053330675,0
3105,2010-04-25,262.67755126953,263.60504150391,262.09606933594,263.5897369384758,264.4153137207027,-0.002378089035435682,0
